Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Белгород;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2015;8,8;8,6;7,1;27,7;17,3;16,4;14,1;12,7;11,1;16,1;17;24,3;181,2
Белушье;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2015;152,4;225,5;191,2;239,1;233,3;195,2;216,9;75,3;260;252,3;291,2;336,2;2668,6
Бованенково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2015;0,47;0,52;0,49;0,28;0,26;0,6;0,79;0,48;1,13;1,21;2;2,47;10,7
Буревестник;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2015;1430,2;1347,6;1756,9;2182,9;1524,66;1542,5;2073,9;1931,8;1850,6;1816,11;1983,2;2015,4;21455,77
Владикавказ(Беслан);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2015;55;61;68;71;61;57;72;77;80;80;80;88;850
Вологда;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2015;44,7;37,53;35,34;34,75;35,83;49,17;51,33;43,14;55,59;54,67;68,05;81,95;592,05
Воронеж(Чертовицкое);2015;7,09;6,01;6,86;5,95;5,59;7,48;7,01;10,31;9,24;6,37;8,97;9,47;90,35
Вуктыл;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2015;1124,32;1677,27;1538,27;1428,15;1295,56;1344,35;1446;1580,63;1684,64;1550,35;1654,31;2042,9;18366,75
Екатеринбург(Уктус);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
