Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Владивосток(Кневичи);2008;909,9;1226,5;1866;2023,3;1695,3;1439,1;1518,6;1333,8;1553,5;1920,5;1662;1453,3;18601,8
Владикавказ(Беслан);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2008;52;84;76;85;95;105;97;103;98;117;124;173;1209
Вологда;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2008;17,98;16,6;21,03;31,15;20,35;36,52;57,59;41,43;26,92;47,58;98,35;77,3;492,8
Воронеж(Чертовицкое);2008;9,59;12,09;13,35;16,65;15,85;16,15;16,3;24,11;18,08;30,15;19,47;18,71;210,5
Вуктыл;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2008;842,47;1399,93;1475,02;1500,04;1198,13;1170,55;1259,02;1529,92;1607,02;1827,9;1431,75;1442,97;16684,72
Екатеринбург(Уктус);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2008;0;0;0;0;0;0;0;0;0;0;0;0;0
Игарка;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2008;889;1090;1102;1641;1663;1177;1299;1225;1278;1289;1148;1218;15019
Кавалерово;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2008;262,93;308,26;180,79;156,63;147,74;138,26;188,66;315,07;315,07;245,71;254,09;211,37;2724,58
Казачинское(Казачинск);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2008;258,03;335,41;360,15;382,71;367,43;319,87;366,74;354,83;360,98;401,31;347,84;394,84;4250,14
Калуга;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2008;87,9;132,51;146,13;132,63;137,81;140,93;128,6;143,43;141,48;165,95;146,2;140,6;1644,17
Кепервеем;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2008;10,5;812,2;533,9;519,9;444,4;269,6;109,2;278,2;442,5;453,1;437,8;658,6;4969,9
Кодинск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2008;118,6;164,3;105,3;177,4;89,02;103,8;37,2;102,2;81;6,8;4,1;0,3;990,02
Кондинское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2008;373;529;537;667;814;818;669;636;634;610;533;602;7422
Красноселькуп;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2008;1099,95;1600,86;1664,3;1951,59;1693;1859,33;1805,97;1790,78;1536,33;1259,75;1033,55;1187,61;18483,02
Красноярск(Черемшанка);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2008;3,1;2,86;2,39;5,73;14,49;24,8;20,49;24,98;20,6;10,58;1,31;1,93;133,26
Лабожское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ленск;2008;42,3;88,2;55,4;127,7;147,3;121,3;100,43;111,8;50;80;79;67,6;1071,03
Лешуконское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2008;134;285;281;312;312;328;356;303;261;200;125;145;3042
Магнитогорск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2008;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2008;126;131;108;98;113;182;175;179;201;220;174;136;1843
Мирный;2008;1134;1360,2;1251,4;1706,7;3294,6;3535,8;3899,16;3228,7;3949,7;1944,1;3997,3;2229,2;31530,86
Москва(Быково);2008;50,23;109,81;96,28;194,93;190,34;66,16;36,93;29,6;54,56;47,43;150,14;58,65;1085,06
Москва(Внуково);2008;1301,87;1689,85;1798,85;1879,34;2772,88;2150,89;2126,73;2268,75;2278,63;2602,25;1960,22;2502,84;25333,1
Москва(Домодедово);2008;7594,33;9975,31;11243,26;11837,18;11469,25;10656,89;11231,6;11959,62;11731,74;12247,91;9523,73;10166,2;129637,02
Москва(Остафьево);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2008;9946,3;12542,8;14409,4;14101;13771,5;13647;15111,3;15692,1;16753,6;17089,8;14942,7;12942,3;170949,8
Мотыгино;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2008;76,8;96,2;180,3;100,1;109,6;92,5;128,4;114,3;102,8;137;86,7;139,3;1364
Мыс Шмидта;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2008;58,3;83,41;81,26;93,4;112,66;123,17;99,46;81,67;89,37;100,34;85,32;109,52;1117,88
Назрань(Магас/Слепцовская);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2008;506,2;309,5;274,6;441,8;866,3;865;986,9;1107,2;983,7;966,1;502,4;519,6;8329,3
Нижнекамск(Бегишево);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2008;49,62;47,33;90,67;61,51;97,77;62,19;62,37;62,85;75,76;88,12;56,63;87,33;842,15
Нижняя Пеша;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2008;77,91;204,36;92,4;113,87;92,08;56,95;62,92;65,73;71,5;49,4;37,32;65,7;990,14
Никольское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2008;57;79;85;95;86;92;96;114;117;90;129;96;1136
Новосибирск(Северный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2008;1159,9;1416,8;1606,2;1683;2078,6;2068;1537,5;1634,4;1713,4;1837,3;1477,9;1611,8;19824,8
Новый Уренгой;2008;173;201,6;210;227,9;277,9;266,9;260,2;261;267,7;256,2;218,5;222;2842,9
Ноглики;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2008;664,72;2194,91;2073,42;2222,26;2254,02;1692,55;1535,58;1254,95;1368,3;1766,74;1596,76;1788,47;20412,68
Норильск(Валек);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2008;70,9;88,9;94,9;99,4;100,3;107,6;105,5;101,8;99,8;88,5;74,7;70,9;1103,2
Нюрба;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2008;207;293;293;286;308;273;296;309;285;292;288;270;3400
Омсукчан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2008;53,35;70,29;72,96;92,23;82,82;84,87;85,89;101,53;92,7;94,77;74,36;81,12;986,89
Орск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2008;18;113;144;277;50;96;111;86;202;14;67;96;1274
Пенза;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2008;147,91;169,83;239,85;307,94;234,64;158,65;188,9;201,27;110,26;225,67;181,26;281,24;2447,42
Песчанка(остров Колгуев);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2008;439,97;785,51;621,55;554,51;457,78;528,28;712,77;947,94;870,15;803,23;899,43;985,6;8606,72
Печора;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2008;423,5;297,3;295,3;535,5;851,7;591,7;787,9;518,4;469,7;698,6;443,7;577,4;6490,7
Провидения(Провидения Бухта);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2008;450,1;483;482,7;634,3;700,1;722,4;713;771,2;727,5;686,7;547,3;504,7;7423
Ростов-на-Дону(Платов);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2008;1354;1776;1799;2031;1898;2039;2191;1895;1984;2056;2033;2084;23140
Саранск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2008;27;36,7;39,2;43,9;43;45,6;47,6;46,8;47,8;54,3;38,1;48,6;518,6
Саскылах;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2008;121;163;264;194;263;208;186;216;216;183;147;148;2309
Среднеколымск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2008;45;66;62;82;40;73;66;67;68;72;63;70;774
Старый Оскол;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2008;241,8;368,9;404,8;376,9;439,6;462,2;408,7;385;419,6;391,5;330,4;383,8;4613,2
Сыктывкар;2008;47,16;57,66;69,48;71,12;66,82;64,96;74,55;68,12;72,84;61,44;56,18;70,51;780,84
Таганрог(Южный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тара;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2008;4,1;4,6;4,1;6,4;15;5,8;14,8;6,6;5,1;18,7;5,2;20,3;110,7
Тиличики;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2008;101;145;169;155;145;135;146;158;149;137;143;151;1734
Троицко-Печорск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2008;298,5;430;498,9;388,2;468,8;367,3;408,9;533,5;410,2;453,8;428,7;466;5152,8
Удское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2008;248,05;290,37;300,59;393,2;274,44;298,78;317,42;356,01;311,32;323,72;203,23;285,79;3602,92
Ухта;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2008;25,2;10,7;14,5;57,8;10,5;22,7;16,96;14,69;21,33;10,83;27;19,2;251,41
Хабаровск(Новый);2008;918,94;1344,56;1502,89;1549,72;1336,41;1120,62;1146,39;1294;1195,91;1664,94;1077,85;1313,63;15465,86
Хандыга;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2008;44,36;78,09;82,11;75,46;73,08;83,2;69,8;78,15;98,51;97,45;74,1;92,8;947,11
Харута;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2008;137,1;299,5;337,3;341,2;131;208,3;262,8;145,6;283,7;280;76,4;371,7;2874,6
Херпучи;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2008;137,12;201,09;233,42;215,46;198,18;203,72;239,85;254,21;233,58;257,95;206;206,22;2586,8
Череповец;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2008;134,04;127,93;192,51;197,52;174,23;89,74;103,57;95,89;106,9;101,14;85,42;104,6;1513,49
Чокурдах;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2008;824,9;1013,7;1042,1;1135;978,5;929;993,4;1260,6;1551;1524,5;1335,9;1249;13837,6
Якутск;2008;571,2;858,2;802,8;990,9;908,9;1192,1;1145,5;990,6;1219,5;1459,6;1271,9;1475,9;12887,1
Якутск(Маган);2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2008;5,37;4,3;4,6;5,33;5,32;6,98;5,76;7,08;5,48;3,25;5,09;7,78;66,34
Ярославль(Туношна);2008;642;1484;1451,9;1645,4;894,6;454,8;776;324,4;633,7;1032,8;1411,7;1511,7;12263
Ярцево;2008;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2007;742,2;71,3;72,8;83,5;102,2;83,3;67,7;85,6;88,3;73,7;72,1;92,2;1634,9
Айхал;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2007;172;286;330;331;279;224;252;171;129;82;243;434;2933
Анапа(Витязево);2007;16,09;20,17;22,65;19,19;55,05;150,88;112,22;101,82;55,68;31,86;37,48;49,47;672,56
Антипаюта;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2007;437,6;467,5;327,3;625,2;681,4;555,6;397,4;425,6;389,5;462,7;600,5;846,5;6216,8
Астрахань(Нариманово);2007;20,31;31,23;26,89;36,54;34,53;34,47;32,93;44,15;55,98;47,61;39,57;47,58;451,79
Ачинск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2007;28,4;23,2;22,8;64,1;171,7;155,1;145,2;174,2;141,9;188,3;162,8;91,4;1369,1
Белушье;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2007;101,1;141,1;154,4;202,7;181,9;217,9;167,1;239,6;159,3;166,3;157,4;268,9;2157,7
Бованенково;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2007;1,1;2,32;2,42;2,27;2;1,88;1,79;1,79;1,23;2,27;1,45;1,24;21,76
Буревестник;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2007;973,2;1554,8;1488,9;1782,7;1771,3;1596,9;1400,7;1721,5;1739,7;1785,8;1658,1;1544,3;19017,9
Владикавказ(Беслан);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2007;39;73;62;137;101;74;82;69;116;78;127;93;1051
Вологда;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2007;15,88;12,96;22,78;24,8;21,64;24,91;50,8;27,31;16,73;16,19;22,7;21,55;278,25
Воронеж(Чертовицкое);2007;7,77;9,86;10,47;15,87;13,05;14,69;13,47;16,54;15,68;13,37;20,57;19,22;170,56
Вуктыл;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2007;800,4;1268,3;1370,5;1416,9;1287,6;1238,6;1098,8;1355,2;1678,8;1724,3;1670,5;1726,8;16636,7
Екатеринбург(Уктус);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2007;0;0;0;0;0;0;0;0;0;0;0;0;0
Игарка;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2007;772;822;972;1401;1475;1170;1458;1386;1267;1272;1581;1682;15258
Кавалерово;2007;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2007;271,49;467,43;617,18;435,91;509,08;258,81;234,47;343,7;728,24;275,79;469,25;570,93;5182,28
Казачинское(Казачинск);2007;***;***;***;***;***;***;***;***;***;***;***;***;***
